name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Fernando de Noronha,10/21/2021,30,25,27.1,35.1,25,29,23.4,80.7,0.5,100,16.67,rain,0,0,34.2,18.4,90.1,1012.5,55.1,10,301.7,26.1,10,,2021-10-21T05:47:52,2021-10-21T18:00:36,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,82400099999"
Fernando de Noronha,10/22/2021,30,25,27.3,35.1,25,29.5,23.5,79.7,0,0,0,,0,0,35.6,25.9,115,1011.8,50.5,10,271.3,23.4,9,,2021-10-22T05:47:36,2021-10-22T18:00:33,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,10/23/2021,30,26,27.3,34.1,26,29,22.6,75.8,0,0,0,,0,0,38.2,25.9,113.6,1012.4,33.1,10,308.3,26.6,10,,2021-10-23T05:47:21,2021-10-23T18:00:30,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,10/24/2021,30,26,27.4,34.1,26,28.9,22.2,73.6,0.1,100,4.17,rain,0,0,39.2,25.9,114.1,1013.8,46.4,10,268.4,23.1,8,,2021-10-24T05:47:08,2021-10-24T18:00:29,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,10/25/2021,30,25,27.2,34.1,25,28.5,21.5,71.3,0,0,0,,0,0,46.1,31.7,125.3,1014.3,29.4,10,275.4,23.9,8,,2021-10-25T05:46:54,2021-10-25T18:00:28,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,10/26/2021,30,26,27.5,33.3,26,29.1,21.8,71.4,1.5,100,50,rain,0,0,42.8,24.1,126.5,1013.5,31.3,10,258.2,22.4,9,,2021-10-26T05:46:42,2021-10-26T18:00:27,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,10/27/2021,30,25,27.3,33.3,25,28.7,21.9,73.1,1,100,41.67,rain,0,0,39.2,25.9,117.9,1013.3,38.5,10,284.2,24.8,9,,2021-10-27T05:46:30,2021-10-27T18:00:28,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,10/28/2021,30,24,27,33.3,24,28.4,22,74.7,0.9,100,37.5,rain,0,0,41,25.9,138.7,1013.5,49.4,9.8,282.7,24.6,10,,2021-10-28T05:46:20,2021-10-28T18:00:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,10/29/2021,30,24,26.8,34.1,24,28,21.9,75.3,1.2,100,33.33,rain,0,0,33.1,25.9,138.5,1012.6,41,10,298.6,25.8,10,,2021-10-29T05:46:10,2021-10-29T18:00:31,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,82400099999"
Fernando de Noronha,10/30/2021,30,22,25.4,33.3,22,26.2,22,82.7,0.5,100,20.83,rain,0,0,25.6,18.4,101.1,1012.3,57.3,9.8,262.9,22.5,9,,2021-10-30T05:46:00,2021-10-30T18:00:33,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,10/31/2021,30,23,25.8,34.1,23,26.9,22.8,83.8,2.4,100,75,rain,0,0,37.8,22.3,110,1013.6,66.7,9.8,255.5,22.1,8,,2021-10-31T05:45:52,2021-10-31T18:00:37,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,1/25/2022,30,23,26.5,35.1,23,28.5,23.4,83.4,8.3,100,62.5,rain,0,0,32,22.3,120.6,1011.2,50.7,10,255.7,22,9,30,2022-01-25T06:13:11,2022-01-25T18:30:47,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,1/26/2022,31,26,27.8,36.5,26,30.4,23.1,76,10.8,100,33.33,rain,0,0,28.1,22.3,113,1010.6,39.5,10,286.1,24.8,9,30,2022-01-26T06:13:29,2022-01-26T18:30:55,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,1/27/2022,30,25,27.3,35.1,25,29.4,23.3,79.2,4.7,100,45.83,rain,0,0,22,16.6,112.6,1010,52.4,10,284.4,24.5,9,30,2022-01-27T06:13:46,2022-01-27T18:31:03,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,1/28/2022,28,24,25.8,31.9,24,26.8,23.5,87.5,24.2,100,83.33,rain,0,0,17.6,14.8,42.8,1010.3,70.6,10,275.6,23.8,9,30,2022-01-28T06:14:03,2022-01-28T18:31:09,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,1/29/2022,30,23,26.9,35.1,23,29.2,23.5,82.5,9.7,100,29.17,rain,0,0,32.4,25.9,117,1011.6,47.5,10,291.6,25.1,10,30,2022-01-29T06:14:19,2022-01-29T18:31:15,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,1/30/2022,31,26,28,36.5,26,31.1,23.5,77.1,1.9,100,45.83,rain,0,0,33.5,27.7,130.9,1012,48.6,10,306.8,26.3,10,30,2022-01-30T06:14:34,2022-01-30T18:31:19,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,1/31/2022,31,27,28.3,36.5,29.2,31.5,23,73.3,0.1,100,4.17,rain,0,0,35.3,29.5,126.5,1011.3,53.6,10,303.5,26.1,9,30,2022-01-31T06:14:48,2022-01-31T18:31:23,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,2/1/2022,31,26,28.1,36.5,26,31.4,23.7,77.3,1.4,100,45.83,rain,0,0,31,24.1,130,1011.5,54.5,10,291,25,10,30,2022-02-01T06:15:02,2022-02-01T18:31:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,2/2/2022,32,27,28.3,37.9,30.1,32.2,24,78,1.4,100,45.83,rain,0,0,24.8,25.9,126.7,1012,62.3,10,305.5,26.4,10,30,2022-02-02T06:15:15,2022-02-02T18:31:28,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
